Metacritic,Recomendaciones,Propietarios,Jugadores,Precio
0,2934,5399499,705741,4.99
96,12486,5927504,2268772,9.99
65,7067,10489261,4127910,9.99
65,7067,10489261,4127910,9.99
71,2219,5368650,662517,4.99
96,35792,9901173,5695963,9.99
0,2547,2983660,695697,9.99
0,4352,14844765,2885376,0.0
87,4437,6298399,2478611,7.99
90,27535,9795716,6864247,9.99
90,6104,5735062,2240435,7.99
92,383949,37878812,37878812,0.0
89,9980,4473517,3107949,19.99
89,140726,15574539,13583400,19.99
90,590480,90687580,90687580,0.0
95,73128,8741499,7282849,19.99
77,14625,4819841,4819841,0.0
95,73128,8741499,7282849,19.99
72,44364,3496958,2989220,19.99
75,385,219883,69767,9.99
75,385,219883,69767,9.99
75,385,219883,69767,9.99
72,2776,966156,405509,9.99
72,2776,966156,405509,9.99
0,656,319063,141686,14.99
81,509,173790,93082,14.99
0,1061,288035,134871,4.99
0,2000,446580,234051,4.99
0,389,374123,116577,4.99
83,1279,443890,194594,4.99
94,1266,340047,181860,4.99
0,660,318525,140969,4.99
0,0,279247,18114,2.99
0,0,278171,22239,2.99
69,0,317987,51115,14.99
0,158,184551,37305,4.99
0,0,178632,17038,4.99
0,241,185089,46452,4.99
76,5026,1364671,928313,9.99
0,706,1327366,366411,0.0
73,716,116936,90392,4.99
74,973,565669,245530,6.99
59,984,312427,64207,4.99
80,3983,544326,407303,19.99
76,351,70664,43044,19.99
91,851,223470,158007,19.99
86,1307,340226,255573,19.99
87,318,189034,96311,19.99
82,109,22598,15962,2.99
0,0,26544,5201,9.99
74,181,45196,28158,7.99
73,1262,544147,319960,15.99
33,5637,218806,200513,29.99
72,501,104381,56316,9.99
81,0,24033,12016,2.49
69,321,89854,41788,4.99
65,374,256111,67794,1.24
78,225,102767,52011,4.99
76,866,421292,273508,9.99
55,425,62772,31207,7.99
0,1084,184013,145453,4.99
70,226,47169,25826,9.99
65,307,66718,36767,9.99
67,224,67256,31566,9.99
87,5130,1413633,758828,9.99
80,0,36408,10761,9.99
82,4657,1029825,719909,19.99
80,104,111376,33180,9.99
70,0,108686,19370,9.99
77,2218,1594238,925265,0.0
80,2216,1047402,566386,0.0
93,3856,2972719,1257241,19.99
78,891,482988,104740,14.95
80,7873,1680326,1188012,9.99
80,7873,1680326,1188012,9.99
78,3763,1206485,597234,9.99
0,373,154420,93082,5.99
81,3535,1536488,799002,9.99
89,1433,1217963,477967,9.99
0,370,133974,65642,5.99
78,16580,2466416,1919220,9.99
78,0,19549,10223,5.99
67,1232,525494,243736,9.99
67,1232,525494,243736,9.99
70,453,67077,32642,4.99
75,397,148143,52191,19.99
91,737,220421,116577,9.99
79,1381,682066,257187,0.0
68,0,32462,11837,9.99
66,499,460570,282117,14.99
66,1401,225442,134153,19.99
0,854,468999,215399,3.99
0,244,435819,101691,3.99
87,877,534103,207507,3.99
72,415,499489,174686,3.99
87,1144,1309073,345427,6.99
82,3895,1454166,673278,8.99
76,214,364259,83039,6.99
75,1565,1269616,306688,6.99
73,1049,1134565,326237,6.99
90,3706,1198773,626468,6.99
80,679,876302,165360,6.99
85,860,678121,252345,8.99
82,921,860519,197464,6.99
76,110,67615,12554,5.99
69,157,70484,16680,9.99
74,212,120344,43403,9.99
0,0,114425,21163,9.99
54,1846,547734,233693,9.99
96,16260,3635595,2429649,19.99
63,506,112990,52370,4.99
92,5983,1056728,954857,19.99
83,1111,904281,278530,8.99
67,1136,429722,128952,6.99
58,0,63490,14169,5.99
80,1079,936922,273687,8.99
74,897,276557,127697,8.99
84,27899,4240721,3358680,14.99
0,176,155496,80169,0.0
0,0,152985,43582,0.0
0,0,152985,32642,0.0
0,253,114604,114604,0.0
0,0,150116,28337,0.0
0,0,149936,23674,0.0
82,0,146170,30131,0.0
80,0,145273,22777,0.0
79,0,145273,20267,0.0
85,0,145632,17756,0.0
0,0,145811,18114,0.0
68,0,51653,7712,9.99
76,0,51115,2690,9.99
82,175,165181,37663,19.99
88,7624,3219325,1288268,19.99
94,55512,4619328,3526192,29.99
81,15545,3134313,2621015,19.99
0,122,226519,39636,2.99
88,1533,356188,201230,4.99
0,0,280682,19190,2.99
0,118,281579,32642,2.99
87,1645,412863,272791,4.99
0,137,186703,58289,4.99
0,181,443890,90930,14.99
0,510,208225,92724,4.99
79,8176,1325035,1116451,9.99
79,8176,1325035,1116451,9.99
87,457,2384453,675969,19.99
73,438,219165,128235,19.99
72,6867,2305360,1148734,9.99
66,0,64745,17756,9.99
74,0,27440,20805,2.99
69,450,81066,31207,4.99
74,1518,229747,154420,9.99
52,670,64387,46810,2.99
0,0,7533,4842,5.99
0,0,7712,5560,9.99
43,105,20805,8609,9.99
83,13072,1526265,1287013,19.99
